Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
China,Matou,111,Unhealthy for Sensitive Groups,2,Good,42,Good,8,Good,111,Unhealthy for Sensitive Groups,39.5503,116.1063
United States of America,Matteson,77,Moderate,2,Good,10,Good,27,Good,77,Moderate,41.5095,-87.7468
Brazil,Medeiros Neto,52,Moderate,1,Good,6,Good,1,Good,52,Moderate,-17.3739,-40.2208
Italy,Melegnano,44,Good,1,Good,33,Good,3,Good,44,Good,45.3588,9.3238
Germany,Dreieich,37,Good,1,Good,37,Good,1,Good,30,Good,50,8.7
United Kingdom of Great Britain and Northern Ireland,Dronfield,39,Good,0,Good,31,Good,1,Good,39,Good,53.3024,-1.4664
India,Dumjor,179,Unhealthy,3,Good,102,Unhealthy for Sensitive Groups,4,Good,179,Unhealthy,22.64,88.22
Hungary,Dunaharaszti,51,Moderate,1,Good,27,Good,2,Good,51,Moderate,47.3539,19.0948
United Kingdom of Great Britain and Northern Ireland,East Grinstead,36,Good,0,Good,27,Good,3,Good,36,Good,51.13,0
United Kingdom of Great Britain and Northern Ireland,Ebbw Vale,50,Good,0,Good,29,Good,1,Good,50,Good,51.78,-3.21
United States of America,Ecorse,51,Moderate,1,Good,28,Good,9,Good,51,Moderate,42.2489,-83.1399
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,13.7167,-88.9
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,13.35,-88
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,8.5128,-73.4508
Guatemala,El Quetzal,99,Moderate,3,Good,11,Good,11,Good,99,Moderate,14.7667,-91.8167
United States of America,Elko,24,Good,1,Good,24,Good,2,Good,17,Good,40.8381,-115.7678
Germany,Elmshorn,32,Good,1,Good,32,Good,2,Good,26,Good,53.7519,9.6511
United States of America,Enumclaw,29,Good,1,Good,29,Good,2,Good,23,Good,47.2018,-121.9897
Mongolia,Erdenet,81,Moderate,1,Good,34,Good,0,Good,81,Moderate,49.0278,104.0444
Turkey,Erzurum,74,Moderate,0,Good,40,Good,0,Good,74,Moderate,39.9086,41.2769
Kazakhstan,Esik,130,Unhealthy for Sensitive Groups,1,Good,30,Good,0,Good,130,Unhealthy for Sensitive Groups,43.35,77.4667
Brazil,Esperantina,55,Moderate,2,Good,1,Good,3,Good,55,Moderate,-3.9019,-42.2339
Brazil,Esperantina,55,Moderate,2,Good,1,Good,3,Good,55,Moderate,-5.3428,-48.5108
Belgium,Essen,38,Good,1,Good,28,Good,4,Good,38,Good,51.4508,7.0131
Belgium,Essen,38,Good,1,Good,28,Good,4,Good,38,Good,51.4667,4.4667
Spain,Estepa,31,Good,1,Good,31,Good,2,Good,25,Good,37.2917,-4.8792
Italy,Fabriano,40,Good,1,Good,40,Good,1,Good,30,Good,43.3333,12.9167
United States of America,Fairview Heights,45,Good,1,Good,32,Good,8,Good,45,Good,38.5974,-90.0053
Pakistan,Faisalabad,301,Hazardous,1,Good,82,Moderate,1,Good,301,Hazardous,31.4167,73.0911
United States of America,Falls Church,59,Moderate,2,Good,41,Good,5,Good,59,Moderate,38.8847,-77.1751
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,50.15,-5.07
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,18.49,-77.661
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,41.5913,-70.5912
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,43.7476,-70.2827
France,Fameck,28,Good,1,Good,27,Good,2,Good,28,Good,49.2992,6.1097
Italy,Fano,44,Good,1,Good,44,Good,0,Good,33,Good,43.8333,13.0167
Germany,Fellbach,30,Good,0,Good,30,Good,2,Good,26,Good,48.8086,9.2758
Malta,Fgura,49,Good,1,Good,49,Good,0,Good,47,Good,35.8725,14.5228
India,Forbesganj,217,Very Unhealthy,3,Good,103,Unhealthy for Sensitive Groups,1,Good,217,Very Unhealthy,26.3,87.265
Italy,Forlimpopoli,38,Good,1,Good,38,Good,1,Good,36,Good,44.1833,12.1333
Argentina,Formosa,32,Good,0,Good,13,Good,0,Good,32,Good,-26.1833,-58.1833
Argentina,Formosa,32,Good,0,Good,13,Good,0,Good,32,Good,-15.5369,-47.3339
United States of America,Fort Atkinson,64,Moderate,2,Good,5,Good,15,Good,64,Moderate,42.9253,-88.8442
United States of America,Fort Morgan,58,Moderate,1,Good,24,Good,4,Good,58,Moderate,40.2537,-103.7903
Rwanda,Gisenyi,157,Unhealthy,4,Good,17,Good,2,Good,157,Unhealthy,-1.7,29.25
United States of America,Gladeview,84,Moderate,1,Good,9,Good,15,Good,84,Moderate,25.8395,-80.2368
Netherlands,Gorinchem,40,Good,1,Good,28,Good,4,Good,40,Good,51.8306,4.9742
France,Goussainville,51,Moderate,1,Good,21,Good,5,Good,51,Moderate,49.0325,2.4747
United States of America,Grand Junction,43,Good,1,Good,17,Good,4,Good,43,Good,39.0877,-108.5673
France,Grasse,72,Moderate,1,Good,34,Good,3,Good,72,Moderate,43.6667,6.9167
United States of America,Greeneville,66,Moderate,2,Good,12,Good,15,Good,66,Moderate,36.168,-82.8197
United States of America,Greenwood Village,75,Moderate,2,Good,5,Good,14,Good,75,Moderate,39.6153,-104.9131
Ecuador,Guaranda,59,Moderate,2,Good,1,Good,6,Good,59,Moderate,-1.6,-79
Ecuador,Guaranda,59,Moderate,2,Good,1,Good,6,Good,59,Moderate,8.4672,-74.5367
Portugal,Guarda,32,Good,1,Good,25,Good,1,Good,32,Good,40.5333,-7.3333
Italy,Guastalla,85,Moderate,1,Good,27,Good,6,Good,85,Moderate,44.9167,10.6667
China,Guiyang,99,Moderate,3,Good,41,Good,6,Good,99,Moderate,26.5794,106.7078
Germany,Gummersbach,34,Good,1,Good,34,Good,2,Good,27,Good,51.0333,7.5667
Germany,Hille,37,Good,1,Good,37,Good,1,Good,24,Good,52.3331,8.75
Haiti,Hinche,144,Unhealthy for Sensitive Groups,3,Good,4,Good,12,Good,144,Unhealthy for Sensitive Groups,19.15,-72.0167
United States of America,Hollins,64,Moderate,1,Good,29,Good,4,Good,64,Moderate,37.3434,-79.9534
Germany,Homburg,31,Good,1,Good,25,Good,3,Good,31,Good,49.3167,7.3333
United States of America,Hot Springs,72,Moderate,2,Good,17,Good,7,Good,72,Moderate,34.4892,-93.0501
China,Huadian,70,Moderate,2,Good,28,Good,2,Good,70,Moderate,42.9633,126.7478
Mexico,Huatusco,95,Moderate,3,Good,8,Good,11,Good,95,Moderate,19.1489,-96.9661
China,Huinan,68,Moderate,2,Good,29,Good,2,Good,68,Moderate,42.6229,126.2614
China,Huizhou,124,Unhealthy for Sensitive Groups,4,Good,44,Good,7,Good,124,Unhealthy for Sensitive Groups,23.1115,114.4152
Germany,Husum,32,Good,1,Good,32,Good,2,Good,24,Good,54.4667,9.05
Netherlands,Geldermalsen,39,Good,1,Good,29,Good,4,Good,39,Good,51.8833,5.2833
Romania,Gheorgheni,61,Moderate,1,Good,40,Good,0,Good,61,Moderate,46.72,25.59
India,Gwalior,174,Unhealthy,1,Good,46,Good,0,Good,174,Unhealthy,26.2215,78.178
United States of America,Hallandale Beach,83,Moderate,1,Good,11,Good,12,Good,83,Moderate,25.9854,-80.1423
Sweden,Halmstad,38,Good,0,Good,38,Good,0,Good,20,Good,56.6739,12.8572
Germany,Hameln,37,Good,1,Good,37,Good,1,Good,24,Good,52.1,9.3667
Germany,Hamminkeln,34,Good,1,Good,28,Good,4,Good,34,Good,51.7319,6.5908
Hungary,Hatvan,38,Good,1,Good,32,Good,1,Good,38,Good,47.6681,19.6697
United States of America,Havelock,53,Moderate,1,Good,45,Good,1,Good,53,Moderate,34.9078,-76.8987
United States of America,Healdsburg,31,Good,1,Good,31,Good,1,Good,26,Good,38.6224,-122.8651
Germany,Herrenberg,32,Good,0,Good,32,Good,1,Good,26,Good,48.5967,8.8708
United States of America,Hialeah,93,Moderate,2,Good,6,Good,17,Good,93,Moderate,25.8696,-80.3045
Brazil,Fortaleza,25,Good,1,Good,7,Good,1,Good,25,Good,-3.7275,-38.5275
United States of America,Frisco,56,Moderate,1,Good,20,Good,7,Good,56,Moderate,33.156,-96.8216
Japan,Furukawa,38,Good,1,Good,38,Good,0,Good,14,Good,36.2381,137.1862
Botswana,Gabane,31,Good,1,Good,18,Good,0,Good,31,Good,-24.6667,25.7833
Colombia,Garagoa,36,Good,1,Good,5,Good,3,Good,36,Good,5.0833,-73.3667
United States of America,Gardner,45,Good,1,Good,45,Good,1,Good,25,Good,38.8122,-94.9275
United States of America,Gardner,45,Good,1,Good,45,Good,1,Good,25,Good,42.5845,-71.9868
United States of America,Middleburg Heights,47,Good,1,Good,30,Good,8,Good,47,Good,41.3696,-81.815
Poland,Mielec,61,Moderate,1,Good,27,Good,2,Good,61,Moderate,50.2833,21.4333
Spain,Mieres,46,Good,1,Good,26,Good,4,Good,46,Good,43.2508,-5.7767
Russian Federation,Mikhaylovka,43,Good,1,Good,31,Good,0,Good,43,Good,50.0667,43.25
Russian Federation,Mikhaylovka,43,Good,1,Good,31,Good,0,Good,43,Good,43.9283,132.0061
United Republic of Tanzania,Mikumi,26,Good,0,Good,16,Good,0,Good,26,Good,-7.4072,36.9722
Ecuador,Milagro,59,Moderate,1,Good,13,Good,6,Good,59,Moderate,-2.1347,-79.5872
United States of America,Millcreek,44,Good,1,Good,21,Good,8,Good,44,Good,40.6892,-111.8292
United States of America,Millcreek,44,Good,1,Good,21,Good,8,Good,44,Good,42.0859,-80.1194
United States of America,Milledgeville,72,Moderate,2,Good,16,Good,10,Good,72,Moderate,33.0874,-83.2414
Botswana,Mogoditshane,32,Good,1,Good,17,Good,0,Good,32,Good,-24.6333,25.8667
Sri Lanka,Monaragala,46,Good,1,Good,32,Good,0,Good,46,Good,6.8726,81.3373
Guatemala,Monjas,64,Moderate,2,Good,9,Good,7,Good,64,Moderate,14.501,-89.8723
United States of America,Montebello,125,Unhealthy for Sensitive Groups,4,Good,4,Good,36,Good,125,Unhealthy for Sensitive Groups,34.0155,-118.1108
Brazil,Monteiro,24,Good,0,Good,13,Good,0,Good,24,Good,-7.8889,-37.12
France,Montgeron,50,Good,1,Good,22,Good,5,Good,50,Good,48.7039,2.4605
Nigeria,Mubi,48,Good,2,Good,21,Good,0,Good,48,Good,10.2604,13.2606
Burundi,Muramvya,67,Moderate,4,Good,20,Good,1,Good,67,Moderate,-3.25,29.6
United States of America,Muscle Shoals,54,Moderate,1,Good,19,Good,6,Good,54,Moderate,34.7432,-87.6343
India,Nainpur,153,Unhealthy,0,Good,38,Good,0,Good,153,Unhealthy,22.43,80.12
Japan,Nakatsugawa,51,Moderate,1,Good,51,Moderate,1,Good,44,Good,35.4876,137.5006
Pakistan,Nankana Sahib,356,Hazardous,2,Good,100,Unhealthy for Sensitive Groups,1,Good,354,Hazardous,31.45,73.7067
United States of America,Narragansett,78,Moderate,2,Good,43,Good,6,Good,78,Moderate,41.4291,-71.4668
China,Nehe,39,Good,1,Good,39,Good,0,Good,18,Good,48.48,124.8738
United States of America,Nesconset,73,Moderate,2,Good,40,Good,10,Good,73,Moderate,40.8467,-73.1522
Germany,Netphen,34,Good,1,Good,34,Good,2,Good,28,Good,50.9147,8.1
,Nettuno,53,Moderate,1,Good,53,Moderate,1,Good,23,Good,41.4667,12.6667
United States of America,New Haven,57,Moderate,1,Good,45,Good,4,Good,57,Moderate,41.3113,-72.9246
United States of America,New Haven,57,Moderate,1,Good,45,Good,4,Good,57,Moderate,41.0676,-85.0174
United States of America,New Iberia,39,Good,1,Good,20,Good,4,Good,39,Good,30.0049,-91.8202
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,51.5886,-2.9978
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,39.0856,-84.4868
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,52.7691,-2.3787
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,41.4801,-71.3203
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,50.701,-1.2883
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,44.6242,-124.0513
United Republic of Tanzania,Ngara,64,Moderate,3,Good,14,Good,1,Good,64,Moderate,-2.5122,30.6558
United Republic of Tanzania,Ngorongoro,33,Good,0,Good,15,Good,0,Good,33,Good,-3.2496,35.52
Russian Federation,Nikel,32,Good,1,Good,32,Good,0,Good,9,Good,69.4081,30.2206
France,Niort,32,Good,0,Good,32,Good,1,Good,18,Good,46.3258,-0.4606
Russian Federation,Nizhniy Lomov,51,Moderate,0,Good,31,Good,0,Good,51,Moderate,53.5167,43.6667
Turkey,Nizip,112,Unhealthy for Sensitive Groups,1,Good,47,Good,0,Good,112,Unhealthy for Sensitive Groups,37.01,37.7972
Italy,Noci,55,Moderate,1,Good,55,Moderate,0,Good,42,Good,40.8,17.1333
Thailand,Phuket,43,Good,1,Good,33,Good,0,Good,43,Good,7.8881,98.3975
India,Phulera,291,Very Unhealthy,1,Good,41,Good,0,Good,291,Very Unhealthy,26.87,75.23
United States of America,Pickerington,52,Moderate,1,Good,48,Good,3,Good,52,Moderate,39.889,-82.7678
China,Pingyi,151,Unhealthy,3,Good,151,Unhealthy,2,Good,97,Moderate,35.5104,117.62
Italy,Poggibonsi,58,Moderate,1,Good,47,Good,3,Good,58,Moderate,43.4667,11.15
Brazil,Pojuca,48,Good,1,Good,9,Good,4,Good,48,Good,-12.3659,-38.2433
Italy,Pontinia,42,Good,1,Good,39,Good,4,Good,42,Good,41.4083,13.0443
Brazil,Porangatu,29,Good,1,Good,6,Good,1,Good,29,Good,-13.4408,-49.1489
Jamaica,Port Antonio,41,Good,0,Good,26,Good,1,Good,41,Good,18.1757,-76.4503
Canada,Powell River,28,Good,1,Good,28,Good,0,Good,12,Good,49.8353,-124.5247
Brazil,Presidente Bernardes,43,Good,1,Good,14,Good,1,Good,43,Good,-22.0061,-51.5531
Russian Federation,Privolzhsk,32,Good,1,Good,32,Good,1,Good,29,Good,57.3825,41.2861
Germany,Puchheim,52,Moderate,1,Good,35,Good,4,Good,52,Moderate,48.15,11.35
,Puebloviejo,71,Moderate,1,Good,16,Good,0,Good,71,Moderate,10.9972,-74.2875
Chile,Punta Arenas,17,Good,0,Good,17,Good,0,Good,3,Good,-53.1667,-70.9333
Indonesia,Purwakarta,101,Unhealthy for Sensitive Groups,2,Good,90,Moderate,1,Good,101,Unhealthy for Sensitive Groups,-6.5533,107.4472
Belgium,Quaregnon,55,Moderate,1,Good,27,Good,4,Good,55,Moderate,50.4333,3.8667
Italy,Quartucciu,54,Moderate,1,Good,36,Good,3,Good,54,Moderate,39.2529,9.1762
Brazil,Quatis,88,Moderate,3,Good,0,Good,7,Good,88,Moderate,-22.4069,-44.2578
Poland,Radomsko,76,Moderate,1,Good,39,Good,1,Good,76,Moderate,51.0667,19.45
United States of America,Olive Branch,65,Moderate,1,Good,28,Good,4,Good,65,Moderate,34.961,-89.8469
Russian Federation,Onega,35,Good,1,Good,35,Good,0,Good,16,Good,63.9167,38.0833
Switzerland,Opfikon,43,Good,2,Good,23,Good,5,Good,43,Good,47.4333,8.5667
United States of America,Oregon City,48,Good,1,Good,12,Good,13,Good,48,Good,45.3418,-122.5924
United States of America,Ormond Beach,63,Moderate,1,Good,23,Good,7,Good,63,Moderate,29.2985,-81.1014
Germany,Oschatz,64,Moderate,1,Good,39,Good,1,Good,64,Moderate,51.3003,13.1072
Belgium,Overpelt,37,Good,1,Good,30,Good,3,Good,37,Good,51.2167,5.4167
Italy,Ozieri,53,Moderate,2,Good,23,Good,6,Good,53,Moderate,40.5849,9.0033
Uganda,Paidha,59,Moderate,1,Good,17,Good,0,Good,59,Moderate,2.4167,30.9875
Thailand,Pakxan,53,Moderate,1,Good,27,Good,0,Good,53,Moderate,18.3964,103.6558
Indonesia,Palembang,74,Moderate,2,Good,47,Good,0,Good,74,Moderate,-2.9861,104.7556
United States of America,Paradise Valley,51,Moderate,1,Good,19,Good,15,Good,51,Moderate,33.5434,-111.9595
Brazil,Paraibano,15,Good,0,Good,14,Good,0,Good,15,Good,-6.4328,-43.9839
Bolivia (Plurinational State of),Patacamaya,20,Good,0,Good,7,Good,1,Good,20,Good,-17.2333,-67.9167
United States of America,Patchogue,74,Moderate,3,Good,20,Good,26,Good,74,Moderate,40.7621,-73.0185
Russian Federation,Pavlovo,34,Good,1,Good,34,Good,0,Good,28,Good,55.9667,43.0667
United States of America,Pearland,103,Unhealthy for Sensitive Groups,1,Good,19,Good,4,Good,103,Unhealthy for Sensitive Groups,29.5581,-95.3218
Italy,Pergine Valsugana,58,Moderate,2,Good,31,Good,4,Good,58,Moderate,46.0667,11.2333
France,Pertuis,151,Unhealthy,1,Good,31,Good,5,Good,151,Unhealthy,43.695,5.5036
Brazil,Petrolina,14,Good,0,Good,14,Good,0,Good,13,Good,-9.3928,-40.5078
Russian Federation,Petushki,49,Good,1,Good,28,Good,6,Good,49,Good,55.9333,39.4667
Germany,Pfullendorf,51,Moderate,1,Good,22,Good,6,Good,51,Moderate,47.9242,9.2567
South Africa,Phalaborwa,49,Good,1,Good,31,Good,0,Good,49,Good,-23.9333,31.1167
Netherlands,Dordrecht,30,Good,1,Good,30,Good,3,Good,20,Good,51.7958,4.6783
Romania,Dorohoi,40,Good,1,Good,35,Good,1,Good,40,Good,47.9597,26.3997
United States of America,Dracut,72,Moderate,2,Good,15,Good,16,Good,72,Moderate,42.6832,-71.301
India,Dumka,85,Moderate,2,Good,85,Moderate,1,Good,61,Moderate,24.42,87.34
Russian Federation,Dyurtyuli,37,Good,1,Good,26,Good,0,Good,37,Good,55.4833,54.8667
United States of America,East Islip,87,Moderate,4,Good,14,Good,33,Good,87,Moderate,40.7257,-73.1869
United States of America,East Rockaway,109,Unhealthy for Sensitive Groups,3,Good,16,Good,31,Good,109,Unhealthy for Sensitive Groups,40.6432,-73.6672
Germany,Eberbach,56,Moderate,1,Good,35,Good,4,Good,56,Moderate,49.4667,8.9833
Germany,Eichenzell,69,Moderate,1,Good,38,Good,2,Good,69,Moderate,50.4934,9.6961
Dominican Republic,El Seibo,57,Moderate,1,Good,19,Good,3,Good,57,Moderate,18.763,-69.042
Turkey,Elbistan,62,Moderate,1,Good,33,Good,1,Good,62,Moderate,38.2014,37.1883
Kenya,Eldama Ravine,78,Moderate,3,Good,25,Good,1,Good,78,Moderate,0.05,35.7167
Brazil,Elias Fausto,90,Moderate,2,Good,7,Good,8,Good,90,Moderate,-23.0428,-47.3739
Norway,Elverum,30,Good,0,Good,30,Good,0,Good,26,Good,60.8819,11.5623
Mexico,Empalme,56,Moderate,1,Good,30,Good,1,Good,56,Moderate,27.9617,-110.8125
Netherlands,Enschede,32,Good,0,Good,32,Good,1,Good,17,Good,52.2167,6.9
Germany,Erbach,57,Moderate,1,Good,43,Good,2,Good,57,Moderate,49.6569,8.9931
Germany,Erbach,57,Moderate,1,Good,43,Good,2,Good,57,Moderate,48.3281,9.8878
Germany,Erkelenz,45,Good,1,Good,35,Good,2,Good,45,Good,51.0833,6.3167
United States of America,Erlanger,67,Moderate,2,Good,35,Good,13,Good,67,Moderate,39.0109,-84.5864
Portugal,Esmoriz,34,Good,1,Good,34,Good,2,Good,30,Good,40.955,-8.627
United States of America,Fernandina Beach,54,Moderate,1,Good,25,Good,6,Good,54,Moderate,30.6571,-81.4511
United States of America,Finneytown,70,Moderate,2,Good,28,Good,16,Good,70,Moderate,39.2159,-84.5144
,Fiumicino,51,Moderate,2,Good,39,Good,7,Good,51,Moderate,41.7667,12.2333
United States of America,Florham Park,105,Unhealthy for Sensitive Groups,3,Good,12,Good,26,Good,105,Unhealthy for Sensitive Groups,40.7773,-74.3953
Germany,Forchheim,59,Moderate,1,Good,36,Good,4,Good,59,Moderate,49.7197,11.0581
United Kingdom of Great Britain and Northern Ireland,Fraserburgh,33,Good,0,Good,33,Good,1,Good,9,Good,57.693,-2.005
Côte d'Ivoire,Gagnoa,39,Good,1,Good,18,Good,0,Good,39,Good,6.1333,-5.9333
Brazil,Garanhuns,20,Good,0,Good,16,Good,1,Good,20,Good,-8.8903,-36.4928
Italy,Garbagnate Milanese,75,Moderate,2,Good,29,Good,8,Good,75,Moderate,45.5771,9.0814
United States of America,Garden Acres,32,Good,1,Good,30,Good,7,Good,32,Good,37.9637,-121.2296
Democratic Republic of the Congo,Gbadolite,39,Good,2,Good,10,Good,0,Good,39,Good,4.275,21
Rwanda,Gikongoro,78,Moderate,6,Good,17,Good,3,Good,78,Moderate,-2.4697,29.5814
United Kingdom of Great Britain and Northern Ireland,Gillingham,32,Good,0,Good,32,Good,2,Good,16,Good,51.385,0.55
United Kingdom of Great Britain and Northern Ireland,Gillingham,32,Good,0,Good,32,Good,2,Good,16,Good,51.0375,-2.2748
Brazil,Piracanjuba,30,Good,0,Good,12,Good,1,Good,30,Good,-17.3028,-49.0178
United States of America,Plattsburgh,43,Good,1,Good,12,Good,5,Good,43,Good,44.6951,-73.4563
Pakistan,Khushab,165,Unhealthy,4,Good,78,Moderate,6,Good,165,Unhealthy,32.2986,72.3508
Germany,Kiel,42,Good,1,Good,42,Good,0,Good,26,Good,54.3233,10.1394
Rwanda,Kigali,107,Unhealthy for Sensitive Groups,2,Good,29,Good,1,Good,107,Unhealthy for Sensitive Groups,-1.9536,30.0606
Russian Federation,Kimry,35,Good,1,Good,35,Good,0,Good,15,Good,56.8667,37.35
Ghana,Kintampo,35,Good,1,Good,23,Good,0,Good,35,Good,8.0522,-1.7347
Hungary,Kiskunhalas,58,Moderate,1,Good,58,Moderate,0,Good,54,Moderate,46.4319,19.4883
Uganda,Kitgum,51,Moderate,1,Good,15,Good,0,Good,51,Moderate,3.2889,32.8778
India,Kodala,109,Unhealthy for Sensitive Groups,3,Good,47,Good,2,Good,109,Unhealthy for Sensitive Groups,19.6243,84.9408
Slovenia,Koper,81,Moderate,1,Good,49,Good,0,Good,81,Moderate,45.55,13.7333
India,Koratla,174,Unhealthy,2,Good,44,Good,4,Good,174,Unhealthy,18.8215,78.7119
Belgium,Kortenberg,53,Moderate,1,Good,38,Good,2,Good,53,Moderate,50.8833,4.5333
India,Kosgi,117,Unhealthy for Sensitive Groups,2,Good,40,Good,5,Good,117,Unhealthy for Sensitive Groups,16.9839,77.7193
Russian Federation,Krasnogvardeyskoye,48,Good,1,Good,48,Good,0,Good,19,Good,45.85,41.5167
Russian Federation,Krasnogvardeyskoye,48,Good,1,Good,48,Good,0,Good,19,Good,45.1278,39.5725
Russian Federation,Kudymkar,43,Good,1,Good,39,Good,0,Good,43,Good,59.0167,54.6667
India,Kukshi,128,Unhealthy for Sensitive Groups,1,Good,35,Good,2,Good,128,Unhealthy for Sensitive Groups,22.2068,74.7579
Myanmar,Labutta,30,Good,1,Good,30,Good,0,Good,28,Good,16.1467,94.7611
